Rank,Title,Year of release,Number of Episodes,Rating,Description,Genre,Tags,Actors,,
#1,Move to Heaven,2021,10,9.2,"Geu Roo is a young autistic man. He works for his father?ôs business ?úMove To Heaven.??Their job is to arrange items left by deceased people. One day, Geu Roo's own father dies. Geu Roo is left alone, but his uncle Sang Koo suddenly appears in front of him. Sang Koo is a cold man. He was a martial artist who fought in underground matches. He went to prison because of what happened at his fight. Sang Koo now becomes Geu Roo?ôs guardian. They run ?úMove To Heaven??together.","Life,  Drama,  Family ","Autism, Uncle-Nephew Relationship, Death, Savant Syndrome, Mourning, Tearjerker, Father-Son Relationship, Life Lesson, Ex-convict, Cleaning And Organizing","Lee Je Hoon, Tang Jun Sang, Hong Seung Hee, Jung Suk Yong, Jung Young Joo, Lee Moon Shik",,
#2,Twinkling Watermelon,2023,16,9.2,"In 2023, high school student Eun Gyeol, a CODA with a passion for music, leads a double life as a model pupil by day and a guitarist by night. When he discovers a mysterious music store, he's unexpectedly transported back to 1995, where he meets his father, Ha Yi Chan, as a high schooler. Yi Chan doesn't recognize him and is infatuated with a cellist, Se Kyeong, not Eun Gyeol's mother, Cheong Ah. To set things right, Eun Gyeol joins a band led by Yi Chan, hoping to reunite his future parents and return to the present.","Romance, Youth, Drama, Fantasy","Time Travel, Child From The Future, Sign Language, Father-Son Relationship, Deafness, 1990s, Music, Coming Of Age, Friendship, Comedy","Ha Eun-Gyeol, Ha Yi-Chan, Choi Se-Kyung, Yoon Chung-A",,
#3,Moving,2023,20,9.1,"Kim Bong Seok, Jang Hui Su, and Lee Gang Hun, seemingly typical high school students, bear extraordinary inherited powers. Bong Seok can fly, Hui Su possesses exceptional athleticism and rapid injury recovery, and Gang Hun wields uncanny strength and speed. As they conceal their gifts, their parents fight to shield them from exploitation by others, navigating a delicate balance between secrecy and protection.","Action, Thriller, Mystery, Supernatural","Graphic Violence, Supernatural Power, Multiple Mains, Romance, Family Relationship, Past And Present, Mother-Son Relationship, Father-Daughter Relationship, Suspense, 1990s","Ryu Seung Ryong, Han Hyo Joo, Zo In Sung",,
#4,The Trauma Code: Heroes on Call ,2025,8,9.1,"Baek Gang Hyeok, a genius trauma surgeon with experience in conflict zones, joins a university hospital to lead its severe trauma team. His confident, bulldozer-like personality clashes with the hospital's financial struggles as the team saves more patients. The team includes Yang Jae Won, a former proctology surgeon who becomes Baek Gang Hyeok?ôs first pupil, nurse Cheon Jang Mi, and anesthesiologist resident Park Gyeong Won. Under Baek Gang Hyeok's leadership, the team transforms from a symbolic unit into one that actively saves lives.","Action, Comedy, Drama, Medical","Surgeon Male Lead, Hospital Setting, Mentor-Mentee Relationship, Competent Male Lead, Rescue Team, Teamwork, Hardworking Male Lead, Co-workers' Relationship, Doctor Male Lead, Workplace Setting ","Ju Ji Hoon, Choo Young Woo, Ha Young, Yoon Gyung Ho, Jeong Jae Kwang",,
#5,Flower of Evil,2020,16,9.1,"Although Baek Hee Sung is hiding a dark secret surrounding his true identity, he has established a happy family life and a successful career. He is a loving husband and doting father to his young daughter. But his perfect fa√ßade begins to crumble when his wife, Cha Ji Won, a homicide detective, begins investigating a string of serial murders from 15 years ago. Ji Won notices changes in Hee Sung?ôs behavior and begins to wonder if he could possibly be hiding something from her. ","Thriller,  Romance,  Crime,  Melodrama ","Married Couple, Deception, Suspense, Family Secret, Hidden Personality, Smart Female Lead, Antisocial Personality Disorder, Investigation, Serial Killer, Psychopath","Lee Joon Gi, Moon Chae Won, Jang Hee Jin, Seo Hyun Woo, Nam Ki Ae, Son Jong Hak",,
#6,Hospital Playlist,2020,12,9.1,"The stories of people going through their days that are seemingly ordinary but actually special, at the hospital, a place known as the microcosm of life, where someone is being born and someone's life meets their ending. The five doctors are long-time friends of 20 years who started their undergrad in 1999 in the same medical school and now are colleagues in the same hospital and have a band together.","Friendship,  Romance,  Life,  Medical ","Strong Friendship, Multiple Mains, Best Friends, Hospital, Slow Romance, Strong Female Lead, Multiple Couples, Slight Romance, Nice Male Lead, Bromance","Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin",,
#7,Hospital Playlist 2,2021,12,9.1,"Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.","Friendship,  Romance,  Life,  Medical ","Workplace, Strong Friendship, Best Friends, Multiple Mains, Band, Music, Strong Female Lead, Multiple Couples, Comedy, Hospital","Jo Jung Suk, Yoo Yeon Seok, Jung Kyung Ho, Kim Dae Myung, Jeon Mi Do, Shin Hyun Bin",,
#8,My Mister,2018,16,9.1,"Park Dong Hoon is a middle-aged engineer who is married to attorney Kang Yoon Hee. However, his life is not that happy as he has two unemployed brothers, Sang Hoon and Gi Hoon, who rely on him. Moreover, his wife is secretly having an affair with CEO Do Joon Yeong, his current boss and college junior.","Psychological,  Life,  Drama,  Family ","Age Gap, Nice Male Lead, Strong Female Lead, Hardship, Smart Female Lead, Healing, Depression, Poor Female Lead, Workplace, Infidelity","Lee Sun Kyun, IU, Park Ho San, Song Sae Byuk, Lee Ji Ah, Kim Young Min",,
#9,Reply 1988,2015,20,9.1,"Five childhood friends, who all live in the same Ssangmundong neighborhood of Seoul, lean on each other to survive their challenging teen years and set a path for their futures. Sung Deok Sun struggles for attention as the middle child in her poor family while also carrying the burden of her 999th ranking in school. Kim Jung Hwan only has a one-track mind for soccer, even after his family becomes rich overnight. Sung Sun Woo is the perfect student, student council president and a caring and dependable son in his family. Ryu Dong Ryong is a geek who knows more about girls and life than the rest of his friends, but his poor academic score prevents him from being able to go to college. Choi Taek is a genius baduk player who dropped out of school to go professional. As the group of friends gets into and out of mischief around the neighborhood, what experiences from these memorable times together will they carry with them into their future lives? Edit Translation  English ????–∫–∏–π ?ŒªŒªŒ∑ŒΩŒπŒ∫Œ¨ Italiano","Comedy,  Romance,  Youth,  Family ","Neighbors, Slice Of Life, Childhood Friends, Multiple Couples, Nostalgia, Poor Family, Love Triangle, Best Friends, Heartfelt, High School","Lee Hye Ri, Go Kyung Pyo, Ryu Joon Yeol, Park Bo Gum, Lee Dong Hwi, Sung Dong Il",,
#10,Weak Hero Class 1,2022,8,9.1,"Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school.","Action, Youth, Drama","Bromance, Smart Male Lead, Violence, School Bullying, Adapted From A Webtoon, Delinquent Supporting Character, Quiet Male Lead, Skilled Fighter, Hidden Past, Strong Male Lead","Park Ji Hoon, Choi Hyun Wook, Hong Kyung, Kim Su Gyeom, Lee Yeon, Shin Seung Ho",,
